"filename", "language", "MS SQL", "JSON with Comments", "HTML", "JSON", "JavaScript", "Python", "TypeScript", "Markdown", "PostCSS", "pip requirements", "C++", "BibTeX", "XML", "Java", "Log", "LaTeX", "Batch", "PowerShell", "C", "CMake", "CMake Cache", "YAML", "Makefile", "Docker", "comment", "blank", "total"
"d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\cache-v2-be6175c942cf5707d520.json", "JSON", 0, 0, 0, 2407, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2408
"d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\cmakeFiles-v1-a9792f58b3b44556cdc6.json", "JSON", 0, 0, 0, 1018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1019
"d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\codemodel-v2-33528fd8d6685977a59a.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\index-2025-07-13T03-03-17-0283.json", "JSON", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 133
"d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\target-cmake-test-Debug-7550adbf4346fc4dad70.json", "JSON", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 191
"d:\Code Files\vscode\CCpp\cmake-projects\build\.cmake\api\v1\reply\toolchains-v1-c5a7cb7b2870dc559920.json", "JSON", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 139
"d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 548, 0, 0, 0, 0, 156, 704
"d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 18, 82
"d:\Code Files\vscode\CCpp\cmake-projects\build\CMakeFiles\3.31.0-rc1\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 3, 26, 106
